收费项代码|老码|新码|开始日期|结束日期
MXY1950|XR05FBF273X001010102126|XR05FBF273X001010202126|2026/1/1|2026/7/31
MXY1893|XN07XXB221A001010305295|XN07XXB221A001010205295|2026/1/1|2026/7/31
MXY1823|XN01AXY095B022010201436|XN01AXY095B022010101436|2026/1/1|2026/7/31
MXY2121|XA02BCL043B001010301425|XA02BCL043B001010101425|2026/1/1|2026/7/31
MXY1738|XA02BCP025B001010201425|XA02BCP025B001010101425|2026/1/1|2026/7/31
XY9269|XA11DAW036B002010101884|XA11DAW036B002010201884|2026/1/1|2026/7/31
MXY2426|XB02AAA172B002010306725|XB02AAA172B002010106725|2026/1/1|2026/7/31
XY1051|XB03BAW037B002010103205|XB03BAW037B002010203205|2026/1/1|2026/7/31
MXY1560|XC01BBL054B002010405006|XC01BBL054B002010205006|2026/1/1|2026/7/31
MXY2424|XC03CAF056B002010100874|XC03CAF056B002020100874|2026/1/1|2026/7/31
MXY1898|XH02ABQ082B002030204735|XH02ABQ082B002030104735|2026/1/1|2026/7/31
MXY3102|XJ01CRA042B003020102673|XJ01CRA042B003020202673|2026/1/1|2026/7/31
MXY3058|XJ01CRP018B001030201877|XJ01CRP018B001030101877|2026/1/1|2026/7/31
MXY3077|XJ01DDT094B001020200507|XJ01DDT094B001020100507|2026/1/1|2026/7/31
MXY2432|XM01ABT149B002010101751|XM01ABT149B002020101751|2026/1/1|2026/7/31
MXY9908|XM01AEF063V006010100156|XM01AEF063V006020179412|2026/1/1|2026/7/31
MXY2560|XN07XXB220B002020501871|XN07XXB220B002020201871|2026/1/1|2026/7/31
